FIPS,state,county,pct_fair_poor_health,pct_smokers,pct_adults_obesity,pct_physically_inactive,pct_access_exercise_opp,primary_care_physician_rate,prev_hosp_rate,pct_annual_mammogram,pct_single_parent_homes
46137,South Dakota,Ziebach,30,34,53,27,58,,1777,14,46
48507,Texas,Zavala,40,21,29,25,59,8,5312,20,63
48505,Texas,Zapata,40,20,30,18,45,7,5596,23,24
4027,Arizona,Yuma,26,17,38,24,84,45,3210,35,28
8125,Colorado,Yuma,17,19,31,21,73,50,3914,39,31
2290,Alaska,Yukon-Koyukuk,28,33,31,25,100,19,1161,33,33
6115,California,Yuba,21,17,29,32,88,23,5032,32,19
48503,Texas,Young,21,21,36,35,60,67,6489,30,25
23031,Maine,York,15,17,30,21,78,75,3535,50,20
31185,Nebraska,York,13,16,40,26,60,80,4011,47,16
42133,Pennsylvania,York,17,21,31,21,72,70,4295,48,23
45091,South Carolina,York,15,18,32,23,73,46,4519,45,27
51199,Virginia,York,13,15,25,18,78,131,3575,55,24
6113,California,Yolo,18,14,24,15,96,122,2454,37,20
48501,Texas,Yoakum,25,16,30,21,67,35,4094,20,6
30111,Montana,Yellowstone,15,19,28,23,85,98,3336,50,22
27173,Minnesota,Yellow Medicine,15,21,39,26,58,71,4030,50,19
5149,Arkansas,Yell,28,25,37,36,54,51,8194,30,26
28163,Mississippi,Yazoo,32,26,42,32,29,25,5500,33,56
4025,Arizona,Yavapai,17,18,24,23,85,59,2210,42,22
36123,New York,Yates,16,19,32,29,49,48,3454,52,15
46135,South Dakota,Yankton,14,20,36,20,83,101,3735,51,24
37199,North Carolina,Yancey,21,23,24,26,100,67,1925,41,23
41071,Oregon,Yamhill,18,18,35,24,80,64,3584,43,19
28161,Mississippi,Yalobusha,25,23,42,39,35,8,9570,34,32
2282,Alaska,Yakutat,19,24,38,32,100,0,,,10
53077,Washington,Yakima,26,16,34,21,75,68,3672,37,27
37197,North Carolina,Yadkin,22,23,34,22,33,32,4786,47,24
51197,Virginia,Wythe,20,24,37,30,80,42,4820,38,24
36121,New York,Wyoming,18,23,38,26,69,30,5002,44,20
42131,Pennsylvania,Wyoming,17,23,31,31,65,44,4643,42,22
54109,West Virginia,Wyoming,28,29,36,40,62,29,8527,27,17
20209,Kansas,Wyandotte,26,23,40,33,90,46,5862,39,32
39175,Ohio,Wyandot,18,24,34,24,59,23,4054,48,23
19197,Iowa,Wright,16,20,38,30,75,39,2523,54,27
27171,Minnesota,Wright,12,16,33,20,86,44,6687,44,13
29229,Missouri,Wright,28,29,29,26,34,16,3972,33,20
2275,Alaska,Wrangell,18,23,36,28,,120,,,24
13321,Georgia,Worth,23,23,44,34,52,34,5796,43,43
19195,Iowa,Worth,14,19,32,26,68,27,2683,56,14
29227,Missouri,Worth,21,24,31,26,21,49,3550,41,18
24047,Maryland,Worcester,16,17,37,27,90,85,3078,45,29
25027,Massachusetts,Worcester,15,18,28,22,92,101,4659,54,22
40153,Oklahoma,Woodward,20,22,32,32,83,45,3845,40,24
20207,Kansas,Woodson,21,25,36,22,43,,3278,45,21
40151,Oklahoma,Woods,18,20,40,34,50,56,4388,40,22
5147,Arkansas,Woodruff,29,27,33,38,50,46,6396,34,44
17203,Illinois,Woodford,13,18,31,21,75,52,3025,48,14
21239,Kentucky,Woodford,19,20,31,23,77,60,3274,45,24
19193,Iowa,Woodbury,17,21,35,27,94,64,4589,50,30
39173,Ohio,Wood,17,21,35,24,71,69,4921,48,20
48499,Texas,Wood,20,20,33,31,39,44,4290,42,32
54107,West Virginia,Wood,23,25,40,31,68,86,6330,47,23
55141,Wisconsin,Wood,15,20,27,19,77,148,3486,59,18
21237,Kentucky,Wolfe,35,34,38,39,54,14,5984,25,26
48497,Texas,Wise,20,19,45,28,38,40,6049,34,17
51195,Virginia,Wise,26,26,40,35,71,47,4990,42,29
54105,West Virginia,Wirt,27,29,35,26,45,17,4086,33,17
1133,Alabama,Winston,24,25,36,36,76,42,11361,38,28
28159,Mississippi,Winston,27,24,44,38,29,33,3793,43,40
27169,Minnesota,Winona,14,19,29,24,96,39,4799,49,16
19191,Iowa,Winneshiek,11,17,31,25,78,110,1879,53,18
17201,Illinois,Winnebago,19,21,30,25,91,75,4700,42,32
19189,Iowa,Winnebago,13,19,40,23,87,48,3063,56,24
