FIPS,rural_mic_metro,rural_metro,region
2020,Metropolitan,Metropolitan,West
2090,Metropolitan,Metropolitan,West
2110,Micropolitan,Rural,West
2122,Micropolitan,Rural,West
2130,Micropolitan,Rural,West
2150,Micropolitan,Rural,West
2170,Metropolitan,Metropolitan,West
2195,Rural,Rural,West
2261,Rural,Rural,West
1001,Metropolitan,Metropolitan,South
1003,Metropolitan,Metropolitan,South
1005,Micropolitan,Rural,South
1007,Metropolitan,Metropolitan,South
1009,Metropolitan,Metropolitan,South
1011,Micropolitan,Rural,South
1013,Micropolitan,Rural,South
1015,Metropolitan,Metropolitan,South
1017,Micropolitan,Rural,South
1019,Micropolitan,Rural,South
1021,Metropolitan,Metropolitan,South
1023,Rural,Rural,South
1025,Micropolitan,Rural,South
1027,Rural,Rural,South
1029,Rural,Rural,South
1031,Micropolitan,Rural,South
1033,Metropolitan,Metropolitan,South
1035,Micropolitan,Rural,South
1037,Rural,Rural,South
1039,Micropolitan,Rural,South
1041,Rural,Rural,South
1043,Micropolitan,Rural,South
1045,Micropolitan,Rural,South
1047,Micropolitan,Rural,South
1049,Micropolitan,Rural,South
1051,Metropolitan,Metropolitan,South
1053,Micropolitan,Rural,South
1055,Metropolitan,Metropolitan,South
1057,Micropolitan,Rural,South
1059,Micropolitan,Rural,South
1061,Metropolitan,Metropolitan,South
1063,Rural,Rural,South
1065,Metropolitan,Metropolitan,South
1067,Metropolitan,Metropolitan,South
1069,Metropolitan,Metropolitan,South
1071,Micropolitan,Rural,South
1073,Metropolitan,Metropolitan,South
1075,Rural,Rural,South
1077,Metropolitan,Metropolitan,South
1079,Metropolitan,Metropolitan,South
1081,Metropolitan,Metropolitan,South
1083,Metropolitan,Metropolitan,South
1085,Metropolitan,Metropolitan,South
1087,Micropolitan,Rural,South
1089,Metropolitan,Metropolitan,South
1091,Micropolitan,Rural,South
1093,Micropolitan,Rural,South
1095,Micropolitan,Rural,South
1097,Metropolitan,Metropolitan,South
1099,Micropolitan,Rural,South
1101,Metropolitan,Metropolitan,South
1103,Metropolitan,Metropolitan,South
1107,Metropolitan,Metropolitan,South
1109,Micropolitan,Rural,South
1111,Micropolitan,Rural,South
1113,Metropolitan,Metropolitan,South
1115,Metropolitan,Metropolitan,South
1117,Metropolitan,Metropolitan,South
1119,Rural,Rural,South
1121,Micropolitan,Rural,South
1123,Micropolitan,Rural,South
1125,Metropolitan,Metropolitan,South
1127,Metropolitan,Metropolitan,South
1129,Rural,Rural,South
1131,Rural,Rural,South
1133,Micropolitan,Rural,South
5001,Micropolitan,Rural,South
5003,Micropolitan,Rural,South
5005,Micropolitan,Rural,South
5007,Metropolitan,Metropolitan,South
5009,Micropolitan,Rural,South
5011,Micropolitan,Rural,South
5013,Rural,Rural,South
5015,Micropolitan,Rural,South
5017,Micropolitan,Rural,South
5019,Micropolitan,Rural,South
5021,Micropolitan,Rural,South
5023,Micropolitan,Rural,South
5027,Micropolitan,Rural,South
5029,Micropolitan,Rural,South
5031,Metropolitan,Metropolitan,South
5033,Metropolitan,Metropolitan,South
5035,Metropolitan,Metropolitan,South
5037,Micropolitan,Rural,South
5039,Micropolitan,Rural,South
5041,Micropolitan,Rural,South
5043,Micropolitan,Rural,South
5045,Metropolitan,Metropolitan,South
5047,Micropolitan,Rural,South
5049,Rural,Rural,South
5051,Metropolitan,Metropolitan,South
5053,Metropolitan,Metropolitan,South
5055,Micropolitan,Rural,South
5057,Micropolitan,Rural,South
5059,Micropolitan,Rural,South
5061,Micropolitan,Rural,South
5063,Micropolitan,Rural,South
5065,Rural,Rural,South
5067,Micropolitan,Rural,South
5069,Metropolitan,Metropolitan,South
5071,Micropolitan,Rural,South
5075,Micropolitan,Rural,South
5079,Metropolitan,Metropolitan,South
5081,Metropolitan,Metropolitan,South
5083,Micropolitan,Rural,South
5085,Metropolitan,Metropolitan,South
5087,Metropolitan,Metropolitan,South
5089,Rural,Rural,South
5091,Metropolitan,Metropolitan,South
5093,Micropolitan,Rural,South
5095,Micropolitan,Rural,South
5097,Rural,Rural,South
5103,Micropolitan,Rural,South
5105,Metropolitan,Metropolitan,South
5107,Micropolitan,Rural,South
5111,Metropolitan,Metropolitan,South
5113,Micropolitan,Rural,South
5115,Micropolitan,Rural,South
